date,time,location,latitude,longitude,crime_type,severity,district
2020-01-18,18:56,"410 Church Street, Vasai-Virar",19.5309,72.7912,Narcotic Drugs Act,Medium,West
2020-01-19,04:26,"714 SV Road, Jamshedpur",22.8307,86.1707,Dishonor of Cheque,High,Downtown
2020-01-19,16:38,"70 Beach Road, Salem",11.6345,78.1695,House Breaking,Medium,Railway Station Area
2020-01-19,18:19,"975 Commercial Street, Vasai-Virar",19.4999,72.8652,Fraud,Low,New Town
2020-01-20,07:03,"597 Lake Road, Pimpri-Chinchwad",18.655,73.7504,Theft,Medium,North
2020-01-20,10:52,"810 Station Road, Amritsar",31.6019,74.8672,House Breaking,Low,Shopping Complex
2020-01-20,12:47,"792 Linking Road, Cuttack",20.4298,85.8528,Cybercrime,Medium,Industrial Area
2020-01-20,16:44,"661 Lake Road, Lucknow",26.805,80.9807,Arms Act,Low,Old City
2020-01-20,16:55,"643 Cross Road, Salem",11.7076,78.1162,Robbery,Medium,Railway Station Area
2020-01-20,17:32,"124 MG Road, Amritsar",31.6215,74.8542,Dacoity,High,University Area
2020-01-20,17:36,"502 Hill Road, Mumbai",19.0541,72.8324,Drug Trafficking,Medium,IT Hub
2020-01-20,19:20,"477 Express Highway, Cuttack",20.4136,85.8657,IT Act Violation,Low,Old City
2020-01-20,19:32,"25 Outer Ring Road, Madurai",9.9021,78.1154,Assault,Medium,Industrial Area
2020-01-20,20:38,"356 LBS Road, Bhubaneswar",20.3076,85.8322,Land Dispute,Low,Mall Area
2020-01-21,11:38,"196 National Highway, Bangalore",12.9818,77.547,Juvenile Crime,Low,Shopping Complex
2020-01-21,11:50,"826 Commercial Street, Udaipur",24.5521,73.7265,Arms Act,Medium,Central
2020-01-21,14:07,"159 Park Street, Kalyan-Dombivli",19.2419,73.1678,IT Act Violation,Medium,North
2020-01-21,23:54,"504 Market Street, Ludhiana",30.9244,75.8325,Cybercrime,Medium,Government Quarter
2020-01-22,12:12,"311 Main Road, Surat",21.1946,72.8221,Robbery,Medium,Bus Terminal Area
2020-01-22,16:18,"674 Gandhi Nagar, Jodhpur",26.2543,73.0333,Honor Killing,High,Central
2020-01-22,21:18,"788 Express Highway, Jabalpur",23.1555,79.9957,Arms Act,Medium,Mall Area
2020-01-23,10:24,"972 Express Highway, Rajkot",22.2937,70.8488,Forgery,Low,Railway Station Area
2020-01-23,12:31,"855 River Road, Nagpur",21.1573,79.0426,Rape,Critical,Residential Area
2020-01-23,15:42,"234 Lake Road, Hyderabad",17.4264,78.5041,Eve Teasing,Medium,New Town
2020-01-23,17:21,"546 Circle, Haridwar",29.9588,78.1515,Kidnapping,Critical,Airport Area
2020-01-23,17:22,"650 State Highway, Tirunelveli",8.6869,77.7729,Arms Act,Low,Hospital Area
2020-01-23,19:47,"9 Brigade Road, Agra",27.1933,78.0563,Arms Act,Low,Downtown
2020-01-23,21:23,"847 Church Street, Pune",18.4794,73.8225,Dacoity,Low,Commercial District
2020-01-23,22:15,"743 Inner Ring Road, Kanpur",26.4938,80.3492,Theft,Medium,IT Hub
2020-01-24,07:41,"651 Beach Road, Mumbai",19.0335,72.8663,Assault,Medium,University Area
2020-01-25,12:59,"618 SV Road, Thane",19.2022,73.0039,Arms Act Violation,High,East
2020-01-25,14:09,"174 Nehru Street, Salem",11.6542,78.1654,Juvenile Crime,Medium,West
2020-01-25,17:04,"285 Linking Road, Nashik",19.9678,73.8161,Cheating,Low,IT Hub
2020-01-25,17:24,"835 Civil Lines, Indore",22.7155,75.8143,Domestic Violence,Medium,Hospital Area
2020-01-25,21:15,"559 Station Road, Bhubaneswar",20.2474,85.8322,IT Act Violation,Medium,Old City
2020-01-26,03:30,"583 Commercial Street, Cuttack",20.4686,85.8823,Defamation,Medium,Railway Station Area
2020-01-26,07:07,"271 Beach Road, Vadodara",22.314,73.1633,Property Dispute,Low,Downtown
2020-01-26,13:41,"486 Market Street, Imphal",24.8433,93.9585,Forgery,High,Central
2020-01-26,15:07,"394 Commercial Street, Ranchi",23.3033,85.3308,Criminal Breach of Trust,Low,Mall Area
2020-01-26,15:20,"236 Commercial Street, Patna",25.5792,85.0989,Corruption,Medium,Old City
2020-01-26,18:01,"220 Mall Road, Nashik",20.0336,73.8268,Criminal Intimidation,Medium,Commercial District
2020-01-26,19:00,"735 Station Road, Bhubaneswar",20.3428,85.8123,Criminal Intimidation,Low,Downtown
2020-01-26,19:42,"149 LBS Road, Varanasi",25.3554,83.0001,Grievous Hurt,Low,University Area
2020-01-26,22:55,"451 Gandhi Nagar, Ranchi",23.3886,85.3166,Burglary,Medium,Old City
2020-01-26,23:19,"51 Outer Ring Road, Ahmedabad",22.9972,72.5739,Cybercrime,High,Commercial District
2020-01-27,12:26,"489 Civil Lines, Jamshedpur",22.7905,86.1829,Burglary,Low,Financial District
2020-01-27,12:54,"20 State Highway, Tirunelveli",8.7056,77.776,Cheating,Low,IT Hub
2020-01-27,15:03,"738 Commercial Street, Mumbai",19.0473,72.8957,Burglary,Medium,Shopping Complex
2020-01-27,16:38,"491 Commercial Street, Pimpri-Chinchwad",18.5832,73.7772,IT Act Violation,Low,North
2020-01-27,16:54,"978 Gandhi Nagar, Patna",25.5567,85.0902,Assault,Medium,Financial District
2020-01-28,09:35,"686 Beach Road, Mumbai",19.0625,72.8821,Causing Hurt,Low,East
2020-01-28,10:46,"638 Circle, Nashik",19.9597,73.8381,Robbery,Medium,Mall Area
2020-01-28,11:21,"782 River Road, Amritsar",31.6454,74.823,Economic Offence,Low,Commercial District
2020-01-28,16:51,"785 Mall Road, Kochi",9.9254,76.2913,Mischief,Medium,Shopping Complex
2020-01-29,13:43,"9 Linking Road, Gwalior",26.1855,78.1801,Drug Trafficking,Medium,Hospital Area
2020-01-29,13:45,"56 Inner Ring Road, Salem",11.627,78.1006,Mischief,Medium,Residential Area
2020-01-29,14:32,"378 Hill Road, Hyderabad",17.3717,78.4924,Culpable Homicide,Medium,IT Hub
2020-01-29,15:17,"880 Civil Lines, Pune",18.5399,73.839,Counterfeiting,Low,Hospital Area
2020-01-29,16:57,"19 Main Road, Ghaziabad",28.6949,77.4569,Child Abuse,Medium,Central
2020-01-29,20:06,"508 Hill Road, Pimpri-Chinchwad",18.5982,73.7895,Vandalism,Low,South
2020-01-29,23:45,"465 Hill Road, Madurai",9.9187,78.1618,IT Act Violation,Low,Shopping Complex
2020-01-30,10:09,"325 Raj Path, Varanasi",25.361,82.9738,Extortion,Medium,Shopping Complex
2020-01-30,12:17,"335 Outer Ring Road, Ahmedabad",23.0653,72.5851,Motor Vehicle Theft,Low,Mall Area
2020-01-30,15:47,"757 Station Road, Ahmedabad",23.0329,72.6124,Vandalism,Low,Shopping Complex
2020-01-30,16:52,"695 Station Road, Visakhapatnam",17.7257,83.182,Eve Teasing,Low,Downtown
2020-01-30,17:18,"148 Lake Road, Nashik",19.9992,73.7443,Vandalism,Medium,East
2020-01-31,11:27,"687 Inner Ring Road, Kochi",9.9031,76.2188,Cheating,Medium,Industrial Area
2020-01-31,15:35,"851 Main Road, Coimbatore",11.0477,76.9156,Motor Vehicle Theft,Medium,West
2020-01-31,17:08,"164 Beach Road, Kochi",9.9467,76.275,Fraud,High,Financial District
2020-02-01,12:00,"343 Civil Lines, Rajkot",22.2616,70.8046,Arms Act Violation,Critical,Mall Area
2020-02-01,15:13,"773 LBS Road, Nagpur",21.192,79.0499,Burglary,Low,Industrial Area
2020-02-01,19:10,"729 LBS Road, Ahmedabad",23.0144,72.598,Burglary,Medium,East
2020-02-02,01:53,"489 Inner Ring Road, Guwahati",26.0978,91.7643,IT Act Violation,Low,South
2020-02-02,04:24,"976 LBS Road, Lucknow",26.8853,80.8976,Murder,High,Hospital Area
2020-02-02,09:06,"12 Mall Road, Meerut",28.9748,77.7105,Assault,Medium,Industrial Area
2020-02-02,20:01,"959 Hill Road, Kota",25.2351,75.83,Burglary,Low,Residential Area
2020-02-02,22:12,"349 Nehru Street, Indore",22.6979,75.8916,Cybercrime,Medium,Airport Area
2020-02-03,10:06,"251 Outer Ring Road, Raipur",21.2212,81.6338,Cybercrime,Medium,New Town
2020-02-03,13:15,"899 River Road, Meerut",29.0172,77.6836,Causing Hurt,Low,University Area
2020-02-03,14:02,"44 Commercial Street, Ludhiana",30.8566,75.8861,Fraud,Low,East
2020-02-03,15:36,"895 Lake Road, Kalyan-Dombivli",19.2899,73.1765,Theft,Low,Old City
2020-02-03,17:59,"30 Cantonment, Ghaziabad",28.6257,77.4305,Narcotic Drugs Act,Low,University Area
2020-02-04,04:45,"47 Nehru Street, Pimpri-Chinchwad",18.6238,73.8151,Fraud,Medium,North
2020-02-04,07:40,"754 Residency Road, Nashik",20.0348,73.8368,Fraud,Low,Shopping Complex
2020-02-04,10:07,"378 Station Road, Hyderabad",17.4218,78.492,Eve Teasing,High,Old City
2020-02-04,12:24,"738 National Highway, Bhubaneswar",20.2579,85.7751,Assault,Medium,South
2020-02-04,16:05,"840 Beach Road, Guwahati",26.1646,91.7063,House Breaking,Low,Commercial District
2020-02-04,18:40,"158 Brigade Road, Pune",18.5458,73.8359,House Breaking,Low,Airport Area
2020-02-05,03:58,"268 Park Street, Agra",27.1654,77.9678,Child Abuse,High,Railway Station Area
2020-02-05,04:12,"257 Outer Ring Road, Jabalpur",23.1759,79.9659,Drug Trafficking,High,Industrial Area
2020-02-05,09:48,"356 MG Road, Cuttack",20.4363,85.8376,Corruption,Medium,Old City
2020-02-05,15:00,"791 Inner Ring Road, Patna",25.5528,85.1496,Fraud,High,West
2020-02-05,18:55,"45 Civil Lines, Guwahati",26.1245,91.7458,Motor Vehicle Theft,Medium,IT Hub
2020-02-05,19:11,"455 Brigade Road, Bhubaneswar",20.2645,85.7807,Rape,Critical,Old City
2020-02-05,22:54,"328 SV Road, Visakhapatnam",17.6531,83.1744,Burglary,Medium,Mall Area
2020-02-06,04:14,"781 Brigade Road, Meerut",28.973,77.7424,Motor Vehicle Theft,Low,Market Area
2020-02-06,12:38,"579 Express Highway, Imphal",24.7717,93.9236,Cybercrime,High,Mall Area
2020-02-06,12:50,"846 Gandhi Nagar, Hyderabad",17.3378,78.4382,Robbery,Medium,Industrial Area
2020-02-06,13:37,"987 State Highway, Kota",25.1667,75.8354,Grievous Hurt,High,Residential Area
2020-02-06,16:28,"335 Cross Road, Nashik",19.9892,73.7607,Theft,Low,Industrial Area
2020-02-06,16:34,"301 Park Street, Lucknow",26.8873,80.9145,Grievous Hurt,Low,Market Area
2020-02-06,16:39,"418 Outer Ring Road, Nagpur",21.1049,79.0433,Honor Killing,High,Residential Area
2020-02-06,20:06,"324 National Highway, Rajkot",22.3342,70.7874,Mischief,Low,Railway Station Area
2020-02-06,23:47,"336 Circle, Kota",25.1996,75.8713,IT Act Violation,Medium,Shopping Complex
2020-02-07,07:20,"8 LBS Road, Thane",19.2284,72.9751,Kidnapping,Critical,Government Quarter
2020-02-07,10:45,"995 Station Road, Vadodara",22.3331,73.178,Motor Vehicle Theft,Medium,Financial District
2020-02-07,13:23,"142 Main Road, Cuttack",20.5002,85.9213,Cybercrime,Medium,Commercial District
2020-02-07,14:32,"319 Cross Road, Raipur",21.2765,81.6337,Missing Person,Low,Government Quarter
2020-02-07,16:18,"9 SV Road, Delhi",28.6805,77.1229,Corruption,Low,East
2020-02-07,18:09,"238 Mall Road, Indore",22.7643,75.8557,Mischief,Low,IT Hub
2020-02-07,21:03,"108 Beach Road, Meerut",28.9584,77.6628,Extortion,High,North
2020-02-08,11:07,"20 Civil Lines, Raipur",21.295,81.5976,Corruption,Low,Suburban
2020-02-08,14:00,"334 Park Street, Rajkot",22.3248,70.8379,Mischief,Medium,Old City
2020-02-08,15:54,"593 Commercial Street, Thiruvananthapuram",8.5373,76.9679,Property Dispute,Low,Railway Station Area
2020-02-08,16:16,"745 National Highway, Indore",22.7531,75.8626,Motor Vehicle Theft,Medium,University Area
2020-02-08,17:19,"426 Outer Ring Road, Thane",19.2346,72.9995,IT Act Violation,Medium,Mall Area
2020-02-09,11:14,"752 MG Road, Thane",19.241,72.9412,Extortion,Medium,Railway Station Area
2020-02-09,17:36,"170 Station Road, Pune",18.5252,73.8616,Criminal Intimidation,Medium,Residential Area
2020-02-10,08:24,"68 Linking Road, Guwahati",26.1387,91.7545,Arms Act,Low,Bus Terminal Area
2020-02-10,10:01,"56 Main Road, Pimpri-Chinchwad",18.6054,73.7567,Juvenile Crime,Low,North
2020-02-10,11:33,"207 Lake Road, Coimbatore",10.9669,76.9976,Arms Act Violation,High,West
2020-02-10,12:31,"88 River Road, Raipur",21.2581,81.6682,Motor Vehicle Theft,Low,New Town
2020-02-10,14:56,"348 Beach Road, Mumbai",19.0834,72.8587,Arson,Low,Airport Area
2020-02-10,15:10,"865 Inner Ring Road, Chennai",13.0577,80.2965,Causing Hurt,Medium,Residential Area
2020-02-10,16:23,"64 Station Road, Ghaziabad",28.6889,77.4528,Cheating,Low,Hospital Area
2020-02-10,20:12,"540 SV Road, Rajkot",22.352,70.846,IT Act Violation,Medium,Commercial District
2020-02-10,20:24,"573 Lake Road, Kota",25.1906,75.8761,Theft,Low,Financial District
2020-02-10,22:43,"635 Church Street, Ghaziabad",28.6493,77.4333,Cheating,Medium,East
2020-02-11,13:24,"383 Civil Lines, Coimbatore",10.9712,76.9445,Kidnapping,Critical,Central
2020-02-11,16:00,"156 Raj Path, Dehradun",30.3495,78.0427,Forgery,Low,Railway Station Area
2020-02-11,16:58,"138 National Highway, Raipur",21.226,81.6762,Child Abuse,High,Government Quarter
2020-02-11,18:49,"384 SV Road, Lucknow",26.8756,80.918,Rape,Critical,South
2020-02-12,12:42,"511 Hill Road, Rajkot",22.299,70.758,Grievous Hurt,Low,Bus Terminal Area
2020-02-12,13:20,"852 Cross Road, Lucknow",26.8768,80.958,Criminal Intimidation,Medium,New Town
2020-02-12,15:31,"622 Church Street, Thiruvananthapuram",8.5357,76.9704,Forgery,Low,New Town
2020-02-12,21:00,"869 Beach Road, Meerut",28.9836,77.6941,Honor Killing,High,Downtown
2020-02-13,10:49,"405 Linking Road, Jamshedpur",22.7883,86.2021,Burglary,High,IT Hub
2020-02-13,10:52,"524 River Road, Bangalore",12.9319,77.5743,Child Abuse,Medium,IT Hub
2020-02-13,11:00,"954 River Road, Hyderabad",17.3682,78.4457,Domestic Violence,Medium,New Town
2020-02-13,12:29,"102 Cross Road, Ghaziabad",28.6216,77.4434,Drug Trafficking,Medium,New Town
2020-02-13,13:23,"162 Hill Road, Nagpur",21.1193,79.0907,Motor Vehicle Theft,High,Hospital Area
2020-02-13,13:50,"734 National Highway, Jodhpur",26.2083,72.9772,Forgery,High,Railway Station Area
2020-02-13,14:33,"768 Cantonment, Chennai",13.0524,80.2961,Arson,Medium,Railway Station Area
2020-02-13,16:41,"123 Lake Road, Kalyan-Dombivli",19.2709,73.1765,Cybercrime,Medium,East
2020-02-13,17:25,"815 Cross Road, Cuttack",20.5033,85.8648,Grievous Hurt,Low,New Town
2020-02-13,22:33,"165 Cross Road, Pune",18.5215,73.8474,Arson,Medium,Railway Station Area
2020-02-13,23:22,"318 National Highway, Chandigarh",30.7576,76.8023,Theft,Medium,Commercial District
2020-02-14,16:54,"622 Mall Road, Bhubaneswar",20.2932,85.7919,Economic Offence,Medium,New Town
2020-02-14,23:49,"942 Inner Ring Road, Imphal",24.8613,93.969,Causing Hurt,Medium,University Area
2020-02-15,10:18,"545 Station Road, Jaipur",26.8824,75.8037,Robbery,High,Mall Area
2020-02-15,11:30,"107 National Highway, Delhi",28.7007,77.1126,Criminal Breach of Trust,Low,North
2020-02-15,16:55,"268 National Highway, Kalyan-Dombivli",19.2487,73.089,Mischief,Medium,Financial District
2020-02-15,17:49,"709 MG Road, Pimpri-Chinchwad",18.6517,73.8494,Cheating,Medium,Railway Station Area
2020-02-15,20:56,"370 Civil Lines, Visakhapatnam",17.6392,83.1842,Burglary,High,New Town
2020-02-16,09:20,"484 Main Road, Kota",25.1888,75.8717,Grievous Hurt,Medium,South
2020-02-16,13:18,"311 Market Street, Tirunelveli",8.7263,77.7916,Cheating,Low,University Area
2020-02-16,15:48,"607 Brigade Road, Bhopal",23.2371,77.4425,Arms Act,Low,IT Hub
2020-02-16,16:55,"316 National Highway, Coimbatore",11.0089,76.9413,Burglary,Low,Financial District
2020-02-16,19:30,"858 SV Road, Lucknow",26.8525,80.9638,Cybercrime,Medium,University Area
