date,time,location,latitude,longitude,crime_type,severity,district,city,state
2024-02-19,20:00,"579, Chrompet, Mylapore, Chennai",12.9516,80.1462,Vehicle Theft,High,"Mylapore, Chennai, Tamil Nadu"
2024-02-20,14:30,"680, Colaba, Dadar, Mumbai",19.0144,72.8479,Theft,Low,"Dadar, Mumbai, Maharashtra"
2024-02-21,22:45,"791, Saket, Vasant Kunj, Delhi",28.5245,77.2066,Kidnapping,Critical,"Vasant Kunj, Delhi, Delhi"
2024-02-22,06:30,"802, Relief Road, Prahlad Nagar, Ahmedabad",23.0395,72.5066,Fraud/Cheating,Medium,"Prahlad Nagar, Ahmedabad, Gujarat"
2024-02-23,18:15,"913, Sikar Road, Mansarovar, Jaipur",26.8467,75.8056,Dowry Harassment,Critical,"Mansarovar, Jaipur, Rajasthan"
2024-02-24,11:00,"124, Hinjewadi, Kothrud, Pune",18.5204,73.8567,Assault,High,"Kothrud, Pune, Maharashtra"
2024-02-25,21:30,"235, Varachha, Nanpura, Surat",21.1959,72.8302,Burglary,Medium,"Nanpura, Surat, Gujarat"
2024-02-26,09:45,"346, Madhapur, Begumpet, Hyderabad",17.4485,78.3908,Cybercrime,High,"Begumpet, Hyderabad, Telangana"
2024-02-27,16:20,"457, BTM Layout, HSR Layout, Bangalore",12.9165,77.6101,Chain Snatching,High,"HSR Layout, Bangalore, Karnataka"
2024-02-28,13:15,"568, Dumdum, Barasat, Kolkata",22.6757,88.4497,Mobile Phone Theft,Medium,"Barasat, Kolkata, West Bengal"
2024-03-01,19:45,"679, Nungambakkam, Egmore, Chennai",13.0732,80.2609,Vehicle Theft,Critical,"Egmore, Chennai, Tamil Nadu"
2024-03-02,12:30,"780, Goregaon, Juhu, Mumbai",19.1663,72.8526,Theft,Medium,"Juhu, Mumbai, Maharashtra"
2024-03-03,23:15,"891, Dwarka, Rohini, Delhi",28.7041,77.1025,Drug Peddling,High,"Rohini, Delhi, Delhi"
2024-03-04,07:00,"902, Law Garden, Maninagar, Ahmedabad",23.0225,72.5714,Fraud/Cheating,High,"Maninagar, Ahmedabad, Gujarat"
2024-03-05,17:45,"113, JLN Marg, Jagatpura, Jaipur",26.8467,75.8056,Domestic Violence,High,"Jagatpura, Jaipur, Rajasthan"
2024-03-06,10:20,"224, Deccan, Camp, Pune",18.5204,73.8567,Assault,Medium,"Camp, Pune, Maharashtra"
2024-03-07,20:30,"335, Athwa, Citylight, Surat",21.1702,72.8311,Burglary,High,"Citylight, Surat, Gujarat"
2024-03-08,14:45,"446, Abids, Kukatpally, Hyderabad",17.3850,78.4867,Cybercrime,Medium,"Kukatpally, Hyderabad, Telangana"
2024-03-09,22:00,"557, Marathahalli, Yelahanka, Bangalore",13.0358,77.6972,Chain Snatching,High,"Yelahanka, Bangalore, Karnataka"
2024-03-10,08:30,"668, Jadavpur, Tollygunge, Kolkata",22.4953,88.3709,Mobile Phone Theft,Low,"Tollygunge, Kolkata, West Bengal"
2024-03-11,18:15,"779, Guindy, Porur, Chennai",13.0067,80.1500,Vehicle Theft,High,"Porur, Chennai, Tamil Nadu"
2024-03-12,11:45,"880, Kurla, Malad, Mumbai",19.0728,72.8826,Theft,Medium,"Malad, Mumbai, Maharashtra"
2024-03-13,21:20,"991, Janakpuri, Laxmi Nagar, Delhi",28.6219,77.2419,Kidnapping,Critical,"Laxmi Nagar, Delhi, Delhi"
2024-03-14,15:30,"102, Ghatlodia, Chandkheda, Ahmedabad",23.1319,72.6347,Fraud/Cheating,High,"Chandkheda, Ahmedabad, Gujarat"
2024-03-15,09:15,"213, Civil Lines, Bani Park, Jaipur",26.9270,75.8056,Dowry Harassment,Critical,"Bani Park, Jaipur, Rajasthan"
2024-03-16,19:00,"324, Viman Nagar, Hadapsar, Pune",18.5679,73.9143,Assault,High,"Hadapsar, Pune, Maharashtra"
2024-03-17,12:15,"435, Ghod Dod Road, Ring Road, Surat",21.1702,72.8311,Burglary,Medium,"Ring Road, Surat, Gujarat"
2024-03-18,23:45,"546, Miyapur, Uppal, Hyderabad",17.4399,78.5513,Cybercrime,High,"Uppal, Hyderabad, Telangana"
2024-03-19,06:20,"657, Banashankari, JP Nagar, Bangalore",12.9082,77.5554,Chain Snatching,Medium,"JP Nagar, Bangalore, Karnataka"
2024-03-20,16:45,"768, New Town, Rajarhat, Kolkata",22.5958,88.4636,Mobile Phone Theft,High,"Rajarhat, Kolkata, West Bengal"
2024-03-21,13:30,"879, OMR, Sholinganallur, Chennai",12.9010,80.2279,Vehicle Theft,Critical,"Sholinganallur, Chennai, Tamil Nadu"
2024-03-22,20:15,"980, Powai, Santacruz, Mumbai",19.1176,72.9060,Theft,Low,"Santacruz, Mumbai, Maharashtra"
2024-03-23,10:00,"191, Mayur Vihar, Pitampura, Delhi",28.6692,77.1310,Drug Peddling,High,"Pitampura, Delhi, Delhi"
2024-03-24,18:30,"292, Nikol, Naroda, Ahmedabad",23.0395,72.6347,Fraud/Cheating,Medium,"Naroda, Ahmedabad, Gujarat"
2024-03-25,14:15,"393, Raja Park, Sodala, Jaipur",26.9270,75.8270,Domestic Violence,High,"Sodala, Jaipur, Rajasthan"
2024-03-26,22:30,"494, Magarpatta, Aundh, Pune",18.5679,73.8077,Assault,Medium,"Aundh, Pune, Maharashtra"
2024-03-27,07:45,"595, Udhna, Magdalla, Surat",21.1591,72.7793,Burglary,High,"Magdalla, Surat, Gujarat"
2024-03-28,17:00,"696, LB Nagar, Dilsukhnagar, Hyderabad",17.3616,78.5513,Cybercrime,High,"Dilsukhnagar, Hyderabad, Telangana"
2024-03-29,11:30,"797, Electronic City, Jayanagar, Bangalore",12.8456,77.6632,Chain Snatching,High,"Jayanagar, Bangalore, Karnataka"
2024-03-30,21:45,"898, Salt Lake, Howrah, Kolkata",22.5958,88.2636,Mobile Phone Theft,Medium,"Howrah, Kolkata, West Bengal"
2024-03-31,15:20,"999, Perungudi, T. Nagar, Chennai",12.9617,80.2206,Vehicle Theft,High,"T. Nagar, Chennai, Tamil Nadu"
